x*;T;n;P_N;P_T;u_pot/T;h;u_pot;J_q;P_id
16.15;0.56356;0.0046995;0.0025275;0.002516825;-0.1071;1.3218;-0.060357276;2.7001E-06;0.00264845
16.45;0.570135;0.004704;0.0025233;0.0025772;-0.10528;1.3381;-0.060023813;-2.94115E-06;0.002681915
16.75;0.566315;0.00471515;0.00252005;0.0025546;-0.105843;1.3296;-0.059940479;-1.35225E-06;0.00267026
17.04;0.56496;0.00472675;0.00252255;0.00255235;-0.107697;1.3239;-0.060844497;3.7615E-07;0.002670425
17.34;0.566055;0.00474965;0.0025266;0.00259245;-0.10448;1.33;-0.059141426;-1.48915E-06;0.002688563
17.64;0.565665;0.00472595;0.0025201;0.0025598;-0.1086065;1.32715;-0.061434896;-5.455E-08;0.002673305
17.93;0.56535;0.0047403;0.0025223;0.002562225;-0.1117325;1.3225;-0.063167969;9.559E-07;0.002679929
18.23;0.56664;0.00472095;0.002522;0.002543425;-0.112695;1.325;-0.063857495;9.2999E-07;0.002675079
18.53;0.567095;0.004749;0.00252305;0.002558325;-0.11578;1.32145;-0.065658259;9.7672E-06;0.002693134
18.82;0.56343;0.0047117;0.00252455;0.002525575;-0.1160815;1.3141;-0.0654038;-1.50152E-05;0.002654713
19.12;0.562875;0.0047426;0.0025279;0.002539375;-0.113913;1.31465;-0.06411878;2.59648E-06;0.002669491
19.41;0.56471;0.0047446;0.0025269;0.002567025;-0.1147385;1.3198;-0.064793978;-5.26726E-06;0.002679323
19.71;0.565705;0.00478795;0.00253165;0.0026147;-0.1125665;1.3222;-0.063679432;3.79807E-06;0.002708567
20.01;0.56705;0.0047661;0.00253605;0.00259765;-0.1121905;1.3261;-0.063617623;6.37955E-06;0.002702617
20.3;0.564225;0.00477185;0.0025341;0.0025865;-0.110787;1.3208;-0.062508795;-1.00766E-05;0.002692397
20.6;0.564895;0.00473125;0.00253415;0.00256305;-0.111898;1.32235;-0.063210621;1.2829E-06;0.002672659
20.9;0.56587;0.00472405;0.002531;0.00256225;-0.1124925;1.32365;-0.063656131;1.2092E-06;0.002673198
21.19;0.563875;0.00473715;0.0025335;0.002572275;-0.114783;1.31805;-0.064723264;-2.71435E-06;0.00267116
21.49;0.565545;0.00476485;0.00253105;0.0025842;-0.1138255;1.3229;-0.064373442;-5.379E-07;0.002694737
